Date,Stocks Sold
2016-03-07,23
2016-02-01,29
2015-08-28,114
2016-08-10,1
2020-07-21,2
2017-08-01,19
2015-01-04,69
2015-02-09,2
2015-04-03,18
2020-04-09,146
2020-10-27,8
2015-10-22,30
2016-07-17,5
2019-08-04,45
2020-06-29,36
2019-04-25,128
2018-04-07,21
2020-04-16,75
2020-12-01,100
2017-04-27,150
2020-11-15,14
2021-05-10,17
2015-04-16,97
2020-09-22,112
2015-06-25,10
2015-12-15,142
2019-08-07,7
2019-08-24,176
2019-06-17,70
2015-09-02,13
2020-03-07,2
2017-10-23,87
2018-10-10,125
2019-11-04,4
2021-05-20,11
2017-06-01,52
2020-05-05,12
2016-07-19,27
2020-11-25,149
2021-06-17,1
2020-07-22,113
2019-01-23,55
2019-12-04,62
2018-06-30,83
2020-05-02,2
2015-02-27,55
2021-02-12,29
2018-02-01,16
2016-02-04,1
2019-04-20,141
2016-07-29,17
2017-12-06,178
2017-01-01,21
2019-10-11,186
2015-09-13,185
2017-12-24,43
2021-03-10,21
2018-10-28,7
2019-08-25,5
2016-03-04,62
2017-11-30,35
2020-02-21,96
2019-01-29,6
2017-04-29,2
2020-05-12,131
2019-11-04,33
2019-05-06,66
2017-12-22,144
2018-02-03,15
2015-06-12,14
2018-10-15,101
2016-04-14,34
2019-11-19,65
2015-11-24,15
2021-05-23,63
2017-12-24,50
2019-12-25,48
2015-11-29,3
2016-02-25,1
2017-04-19,29
2020-07-25,3
2019-07-07,6
2020-01-14,31
2016-02-29,167
2018-12-09,40
2020-09-20,53
2017-01-07,112
2017-12-04,7
2018-02-23,51
2017-01-17,23
2015-03-05,11
2017-09-06,51
2018-05-01,123
2016-05-18,50
2017-02-12,54
2020-05-13,21
2016-09-23,6
2015-05-30,53
2020-08-06,17
2019-06-24,2
2015-07-21,25
2020-03-09,103
2016-06-21,96
2020-05-15,31
2015-09-22,12
2017-03-24,21
2018-02-24,1
2020-01-04,20
2019-11-15,163
2015-04-05,15
2021-01-12,1
2017-08-07,13
2015-01-21,8
2018-09-28,3
2016-10-04,9
2019-09-13,12
2016-12-02,12
2015-09-08,1
2016-11-13,9
2015-02-25,6
2016-10-15,19
2015-07-11,22
2019-07-11,51
2016-03-01,9
2020-09-01,63
2015-04-14,22
2019-08-04,39
2020-03-26,46
2019-04-12,20
2017-12-09,105
2015-01-07,3
2021-07-01,8
2018-12-23,29
2019-07-10,96
2016-09-27,113
2020-10-09,37
2015-10-18,109
2018-02-02,118
2017-02-02,14
2016-07-09,23
2020-11-12,2
2019-03-07,83
2016-01-20,32
2016-01-19,1
2016-03-03,14
2019-03-21,43
2017-08-14,89
2017-05-11,33
2019-01-22,109
2019-07-02,7
2016-12-14,85
2018-07-17,51
2016-08-04,40
2021-02-10,118
2018-10-09,14
2020-03-22,1
2018-06-05,68
2019-09-16,20
2019-08-22,5
2019-12-14,1
2017-01-14,129
2019-08-11,121
2019-09-23,75
2017-10-24,12
2018-06-23,21
2018-04-08,1
2018-01-20,103
2021-01-09,102
2020-02-10,16
2021-03-05,6
2020-05-29,43
2020-12-12,31
2018-08-28,4
2015-04-06,49
2020-06-28,23
2019-12-16,51
2020-02-18,28
2015-12-28,56
2020-11-07,73
2018-06-16,74
2019-09-09,30
2015-11-14,45
2021-06-22,4
2018-07-29,29
2019-11-09,66
2020-07-21,1
2015-04-16,6
2019-09-22,50
2018-05-06,82
2018-08-09,107
2019-07-28,144
2020-02-18,122
2018-07-04,169
2015-12-07,10
2016-02-14,11
2019-10-21,145
2021-06-22,22
2017-10-14,2
2018-08-12,63
2015-08-11,39
2019-05-28,150
2015-08-29,11
2019-06-24,6
2017-11-26,11
2019-01-15,73
2019-11-17,55
2018-08-11,15
2016-10-28,143
2016-12-30,2
2019-04-28,19
2015-02-04,39
2018-06-02,36
2018-11-12,17
2021-04-27,12
2015-12-06,20
2015-07-20,42
2020-09-08,99
2017-07-26,146
2017-12-22,24
2017-12-03,3
2015-03-05,75
2019-02-16,1
2016-11-25,102
2015-10-26,1
2015-07-27,45
2016-03-20,3
2017-11-23,16
2020-09-28,2
2020-08-28,43
2016-11-10,106
2019-04-05,1
2021-02-23,142
2019-06-08,25
2019-11-08,1
2017-07-26,31
2021-05-31,32
2019-10-27,15
2019-09-06,36
2021-05-05,53
2019-06-12,37
2015-01-08,19
2015-10-13,101
2016-01-27,7
2018-11-27,66
2017-05-25,30
2016-09-08,94
2018-04-22,64
2016-07-30,5
2018-01-10,1
2016-03-07,11
2020-02-03,4
2016-08-11,21
2015-10-03,28
2018-10-11,10
2017-03-07,162
2021-04-20,123
2021-05-16,100
2016-11-26,13
2018-04-26,4
2015-05-14,6
2019-08-12,21
2020-10-04,62
2021-05-10,16
2015-05-02,112
2018-04-20,171
2015-07-14,8
2020-06-23,11
2018-07-16,89
2018-02-11,68
2015-09-07,51
2016-10-11,7
2018-04-13,159
2018-07-29,68
2018-09-29,130
2021-03-23,6
2016-12-13,4
2017-01-31,39
2018-04-08,101
2016-09-10,37
2017-09-09,78
2017-12-05,16
2019-08-05,94
2019-01-11,9
2017-11-23,105
2017-01-30,5
2020-12-09,35
2016-09-14,3
2019-03-31,16
